干燥有什么用:{'intent': {'domain': 'purchaseInquiry', 'utterance': '干燥有什么用', 'fallBack': '干燥有什么用', 'intent_confidence': 0.9956851006, 'intentType': 'ask_faq', 'slot': []}, 'classifier': 'mideaDomain'}
给我介绍一下自动开关门:{'intent': {'domain': 'purchaseInquiry', 'utterance': '给我介绍一下自动开关门', 'fallBack': '给我介绍一下自动开关门', 'intent_confidence': 0.956171453, 'intentType': 'ask_faq', 'slot': []}, 'classifier': 'mideaDomain'}
什么叫自动开关门:{'intent': {'domain': 'purchaseInquiry', 'utterance': '什么叫自动开关门', 'fallBack': '什么叫自动开关门', 'intent_confidence': 0.9822126627, 'intentType': 'ask_faq', 'slot': []}, 'classifier': 'mideaDomain'}
给我介绍一下自然风:{'intent': {'domain': 'general', 'utterance': '给我介绍一下自然风', 'fallBack': '给我介绍一下自然风', 'intent_confidence': 1.0, 'intentType': 'other_intent', 'slot': []}, 'classifier': 'mideaDomain'}
什么叫自然风:{'intent': {'domain': 'general', 'utterance': '什么叫自然风', 'fallBack': '什么叫自然风', 'intent_confidence': 0.7015408874, 'intentType': 'other_intent', 'slot': []}, 'classifier': 'mideaDomain'}
电辅热是什么:{'intent': {'domain': 'purchaseInquiry', 'utterance': '电辅热是什么', 'fallBack': '电辅热是什么', 'intent_confidence': 0.9991279244, 'intentType': 'ask_faq', 'slot': []}, 'classifier': 'mideaDomain'}
电辅热有什么用:{'intent': {'domain': 'purchaseInquiry', 'utterance': '电辅热有什么用', 'fallBack': '电辅热有什么用', 'intent_confidence': 0.9991771579, 'intentType': 'ask_faq', 'slot': []}, 'classifier': 'mideaDomain'}
什么叫电辅热:{'intent': {'domain': 'purchaseInquiry', 'utterance': '什么叫电辅热', 'fallBack': '什么叫电辅热', 'intent_confidence': 0.9997350574, 'intentType': 'ask_faq', 'slot': []}, 'classifier': 'mideaDomain'}
给我介绍一下电辅热:{'intent': {'domain': 'purchaseInquiry', 'utterance': '给我介绍一下电辅热', 'fallBack': '给我介绍一下电辅热', 'intent_confidence': 0.9833709002, 'intentType': 'ask_faq', 'slot': []}, 'classifier': 'mideaDomain'}
净化是什么:{'intent': {'domain': 'purchaseInquiry', 'utterance': '净化是什么', 'fallBack': '净化是什么', 'intent_confidence': 0.9533049464, 'intentType': 'ask_faq', 'slot': []}, 'classifier': 'mideaDomain'}
净化有什么用:{'intent': {'domain': 'purchaseInquiry', 'utterance': '净化有什么用', 'fallBack': '净化有什么用', 'intent_confidence': 0.9966027737, 'intentType': 'ask_faq', 'slot': []}, 'classifier': 'mideaDomain'}
给我介绍一下净化:{'intent': {'domain': 'purchaseInquiry', 'utterance': '给我介绍一下净化', 'fallBack': '给我介绍一下净化', 'intent_confidence': 0.9236530662, 'intentType': 'ask_faq', 'slot': []}, 'classifier': 'mideaDomain'}
什么叫净化:{'intent': {'domain': 'purchaseInquiry', 'utterance': '什么叫净化', 'fallBack': '什么叫净化', 'intent_confidence': 0.9926855564, 'intentType': 'ask_faq', 'slot': []}, 'classifier': 'mideaDomain'}
